rank,song,artist,last-week,peak-rank,weeks-on-board,date
1,Independent Women Part I,Destiny's Child,1,1,15,2000-12-30
2,He Loves U Not,Dream,5,2,14,2000-12-30
3,It Wasn't Me,"Shaggy Feat. Ricardo ""RikRok"" Ducent",2,2,9,2000-12-30
4,Case Of The Ex (Whatcha Gonna Do),Mya,3,2,20,2000-12-30
5,With Arms Wide Open,Creed,4,1,34,2000-12-30
6,Ms. Jackson,OutKast,6,6,8,2000-12-30
7,The Way You Love Me,Faith Hill,8,7,35,2000-12-30
8,If You're Gone,matchbox twenty,11,8,11,2000-12-30
9,Kryptonite,3 Doors Down,9,3,39,2000-12-30
10,Dance With Me,Debelah Morgan,12,10,23,2000-12-30
11,I Just Wanna Love U (Give It 2 Me),JAY-Z,13,11,10,2000-12-30
12,This I Promise You,'N Sync,10,5,14,2000-12-30
13,Gotta Tell You,Samantha Mumba,7,4,17,2000-12-30
14,Most Girls,P!nk,14,4,21,2000-12-30
15,I Wish,R. Kelly,15,15,14,2000-12-30
16,Again,Lenny Kravitz,19,16,7,2000-12-30
17,Liquid Dreams,O-Town,21,17,2,2000-12-30
18,E.I.,Nelly,16,16,13,2000-12-30
19,Shape Of My Heart,Backstreet Boys,17,9,12,2000-12-30
20,Love Don't Cost A Thing,Jennifer Lopez,22,20,4,2000-12-30
21,Between Me And You,Ja Rule Featuring Christina Milian,18,11,16,2000-12-30
22,Pinch Me,Barenaked Ladies,20,15,17,2000-12-30
23,Crazy For This Girl,Evan And Jaron,23,23,9,2000-12-30
24,What's Your Fantasy,Ludacris Featuring Shawnna,24,21,14,2000-12-30
25,Beautiful Day,U2,28,25,13,2000-12-30
26,My First Love,Avant Featuring KeKe Wyatt,26,26,9,2000-12-30
27,Music,Madonna,25,1,21,2000-12-30
28,My Next Thirty Years,Tim McGraw,27,27,11,2000-12-30
29,Stronger,Britney Spears,53,29,5,2000-12-30
30,Don't Tell Me,Madonna,35,30,4,2000-12-30
31,Just Friends (Sunny),Musiq,32,31,12,2000-12-30
32,Danger (Been So Long),Mystikal Featuring Nivea,55,32,3,2000-12-30
33,Without You,Dixie Chicks,31,31,13,2000-12-30
34,Born To Fly,Sara Evans,39,34,11,2000-12-30
35,Hemorrhage (In My Hands),Fuel,40,35,10,2000-12-30
36,I Lost It,Kenny Chesney,34,34,11,2000-12-30
37,Bent,matchbox twenty,33,1,36,2000-12-30
38,Crazy,K-Ci & JoJo,42,38,4,2000-12-30
39,So In Love With Two,Mikaila,47,39,6,2000-12-30
40,Don't Think I'm Not,Kandi,30,24,22,2000-12-30
41,Bow Wow (That's My Name),Lil Bow Wow,43,41,6,2000-12-30
42,We Danced,Brad Paisley,36,29,12,2000-12-30
43,She Bangs,Ricky Martin,29,12,13,2000-12-30
44,My Everything,98 Degrees,50,44,4,2000-12-30
45,Best Of Intentions,Travis Tritt,37,27,20,2000-12-30
46,You're A God,Vertical Horizon,41,23,19,2000-12-30
47,Emotional,Carl Thomas,54,47,6,2000-12-30
48,No More (Baby I'ma Do Right),3LW,48,48,9,2000-12-30
49,www.memory,Alan Jackson,45,45,9,2000-12-30
50,Tell Her,Lonestar,51,50,7,2000-12-30
51,Just Another Day In Paradise,Phil Vassar,46,35,14,2000-12-30
52,Mamacita,Public Announcement,59,52,2,2000-12-30
53,911,Wyclef Jean Featuring Mary J. Blige,49,38,13,2000-12-30
54,One Woman Man,Dave Hollister,64,54,4,2000-12-30
55,Stan,Eminem Featuring Dido,57,51,9,2000-12-30
56,Ashes By Now,Lee Ann Womack,62,56,4,2000-12-30
57,The Itch,Vitamin C,52,45,5,2000-12-30
58,Burn,Jo Dee Messina,60,58,5,2000-12-30
59,South Side,Moby Featuring Gwen Stefani,78,59,5,2000-12-30
60,Project Chick,Cash Money Millionaires,65,60,3,2000-12-30
61,Loser,3 Doors Down,61,55,11,2000-12-30
62,The Little Girl,John Michael Montgomery,63,35,17,2000-12-30
63,Babylon,David Gray,66,63,5,2000-12-30
64,Promise,Jagged Edge,73,64,2,2000-12-30
65,It's Over Now,112,68,65,4,2000-12-30
66,Bag Lady,Erykah Badu,56,6,20,2000-12-30
67,There Is No Arizona,Jamie O'Neal,72,67,2,2000-12-30
68,The Christmas Shoes,NewSong,,68,1,2000-12-30
69,Still On Your Side,BBMak,,69,1,2000-12-30
70,Wild Horses,Garth Brooks,79,70,2,2000-12-30
71,Is That Your Chick,Memphis Bleek Featuring Jay-Z & Missy Elliott,74,71,3,2000-12-30
72,But For The Grace Of God,Keith Urban,81,72,2,2000-12-30
73,Rollin',Limp Bizkit,67,65,8,2000-12-30
74,You Should've Told Me,Kelly Price,70,64,15,2000-12-30
75,Liar,Profyle,69,14,16,2000-12-30
76,This Everyday Love,Rascal Flatts,76,76,2,2000-12-30
77,You Shouldn't Kiss Me Like This,Toby Keith,,77,1,2000-12-30
78,Original Prankster,The Offspring,77,70,6,2000-12-30
79,Open My Heart,Yolanda Adams,71,57,19,2000-12-30
80,X,Xzibit,,80,1,2000-12-30
81,Angel,Shaggy Featuring Rayvon,,81,1,2000-12-30
82,Meanwhile Back At The Ranch,The Clark Family Experience,80,80,7,2000-12-30
83,Oklahoma,Billy Gilman,84,83,8,2000-12-30
84,Girls Dem Sugar,Beenie Man Featuring Mya,75,54,11,2000-12-30
85,Put It On Me,Ja Rule Featuring Lil' Mo & Vita,95,85,2,2000-12-30
86,Can't Fight The Moonlight,LeAnn Rimes,85,71,17,2000-12-30
87,Could It Be,Jaheim,90,87,3,2000-12-30
88,A Little Gasoline,Terri Clark,82,75,3,2000-12-30
89,How Many Licks?,Lil' Kim Featuring Sisqo,86,75,6,2000-12-30
90,Thank You In Advance,Boyz II Men,,90,1,2000-12-30
91,My Love Goes On And On,Chris Cagle,83,76,11,2000-12-30
92,Oh No,Mos Def & Pharoahe Monch Featuring Nate Dogg,97,92,2,2000-12-30
93,My Baby You,Marc Anthony,89,70,16,2000-12-30
94,Give Me Just One Night (Una Noche),98 Degrees,93,2,20,2000-12-30
95,Go On,George Strait,88,40,19,2000-12-30
96,All Good?,De La Soul Featuring Chaka Khan,96,96,2,2000-12-30
97,Kiss This,Aaron Tippin,92,42,19,2000-12-30
98,I Know,Sunday,,98,1,2000-12-30
99,Feels Like Love,Vince Gill,91,52,18,2000-12-30
100,If I Am,Nine Days,94,68,5,2000-12-30
1,Independent Women Part I,Destiny's Child,1,1,14,2000-12-23
2,It Wasn't Me,"Shaggy Feat. Ricardo ""RikRok"" Ducent",4,2,8,2000-12-23
3,Case Of The Ex (Whatcha Gonna Do),Mya,2,2,19,2000-12-23
4,With Arms Wide Open,Creed,3,1,33,2000-12-23
5,He Loves U Not,Dream,8,5,13,2000-12-23
6,Ms. Jackson,OutKast,9,6,7,2000-12-23
7,Gotta Tell You,Samantha Mumba,6,4,16,2000-12-23
8,The Way You Love Me,Faith Hill,10,8,34,2000-12-23
9,Kryptonite,3 Doors Down,5,3,38,2000-12-23
10,This I Promise You,'N Sync,7,5,13,2000-12-23
11,If You're Gone,matchbox twenty,13,11,10,2000-12-23
12,Dance With Me,Debelah Morgan,15,12,22,2000-12-23
