Title,Distributor,Release Date,US Sales,World Sales,Runtime,Rating
Star Wars: Episode VII - The Force Awakens,Walt Disney Studios Motion Pictures,2015,936662225,2069521700,2 hr 18 min,PG-13
Avengers: Endgame,Walt Disney Studios Motion Pictures,2019,858373000,2797501328,3 hr 1 min,PG-13
Avatar,Twentieth Century Fox,2009,760507625,2847246203,2 hr 42 min,PG-13
Black Panther,Walt Disney Studios Motion Pictures,2018,700426566,1347597973,2 hr 14 min,NA
Avengers: Infinity War,Walt Disney Studios Motion Pictures,2018,678815482,2048359754,2 hr 29 min,NA
Spider-Man: No Way Home,Sony Pictures Entertainment (SPE),2021,675813257,1544455963,2 hr 28 min,NA
Titanic,Paramount Pictures,1997,659363944,2201647264,3 hr 14 min,PG-13
Jurassic World,Universal Pictures,2015,652385625,1670516444,2 hr 4 min,PG-13
The Avengers,Walt Disney Studios Motion Pictures,2012,623357910,1518815515,2 hr 23 min,PG-13
Star Wars: Episode VIII - The Last Jedi,Walt Disney Studios Motion Pictures,2017,620181382,1332698830,2 hr 32 min,PG-13
Incredibles 2,Walt Disney Studios Motion Pictures,2018,608581744,1243089244,1 hr 58 min,NA
The Lion King,Walt Disney Studios Motion Pictures,2019,543638043,1662899439,1 hr 58 min,PG
The Dark Knight,Warner Bros.,2008,534858444,1005973645,2 hr 32 min,PG-13
Rogue One: A Star Wars Story,Walt Disney Studios Motion Pictures,2016,532177324,1056057720,2 hr 13 min,PG-13
Star Wars: Episode IX - The Rise of Skywalker,Walt Disney Studios Motion Pictures,2019,515202542,1074149279,2 hr 21 min,PG-13
Beauty and the Beast,Walt Disney Studios Motion Pictures,2017,504481165,1273576220,2 hr 9 min,PG
Finding Dory,Walt Disney Studios Motion Pictures,2016,486295561,1028570942,1 hr 37 min,NA
Frozen II,Walt Disney Studios Motion Pictures,2019,477373578,1450026933,1 hr 43 min,PG
Star Wars: Episode I - The Phantom Menace,Twentieth Century Fox,1999,474544677,1027082707,2 hr 16 min,PG
Star Wars: Episode IV - A New Hope,Twentieth Century Fox,1977,460998507,775398007,2 hr 1 min,PG
Avengers: Age of Ultron,Walt Disney Studios Motion Pictures,2015,459005868,1402809540,2 hr 21 min,PG-13
The Dark Knight Rises,Warner Bros.,2012,448139099,1081142612,2 hr 44 min,PG-13
Shrek 2,DreamWorks Distribution,2004,441226247,928760770,1 hr 33 min,PG
E.T. the Extra-Terrestrial,Universal Pictures,1982,435110554,792910554,1 hr 55 min,PG
Toy Story 4,Walt Disney Studios Motion Pictures,2019,434038008,1073394593,1 hr 40 min,G
Captain Marvel,Walt Disney Studios Motion Pictures,2019,426829839,1128462972,2 hr 3 min,PG-13
The Hunger Games: Catching Fire,Lionsgate,2013,424668047,865011746,2 hr 26 min,PG-13
Pirates of the Caribbean: Dead Man's Chest,Walt Disney Studios Motion Pictures,2006,423315812,1066179747,2 hr 31 min,PG-13
The Lion King,Walt Disney Studios Motion Pictures,1994,422783777,1063611805,1 hr 28 min,G
Jurassic World: Fallen Kingdom,Universal Pictures,2018,417719760,1310466296,2 hr 8 min,PG-13
Toy Story 3,Walt Disney Studios Motion Pictures,2010,415004880,1066970811,1 hr 43 min,NA
Wonder Woman,Warner Bros.,2017,412815408,822824522,2 hr 21 min,PG-13
Iron Man 3,Walt Disney Studios Motion Pictures,2013,409013994,1214811252,2 hr 10 min,PG-13
Captain America: Civil War,Walt Disney Studios Motion Pictures,2016,408084349,1153337496,2 hr 27 min,PG-13
The Hunger Games,Lionsgate,2012,408010692,694394724,2 hr 22 min,PG-13
Spider-Man,Sony Pictures Entertainment (SPE),2002,407022860,825025036,2 hr 1 min,PG-13
Jumanji: Welcome to the Jungle,Sony Pictures Entertainment (SPE),2017,404540171,962542945,1 hr 59 min,PG-13
